FooBarWidget/rubyenterpriseedition,301,lib/rdoc/parsers/parse_f95.rb > RDoc > Fortran95parser > parse_program_or_module
jsn/rbot,291,lib/rbot/ircbot.rb > Irc > Bot > initialize
edavis10/redmine,277,lib/redmine/export/pdf.rb > Redmine > Export > PDF > issue_to_pdf
